iso3,country,region,subregion,disaggregation,disagg.value,section,Calcium_2016,Fruit_2016,Legumes_2016,Milk_2016,Nuts and seeds_2016,Omega 3_2016,Polyunsaturated fat_2016,Processed meat_2016,Red meat_2016,Salt_2016,Saturated fat_2016,Sugar-sweetened beverages_2016,Trans fat_2016,Vegetables_2016,Whole grain_2016
BFA,Burkina Faso,Africa,Western Africa,location,National,Dietary needs,0.27,9.95,135.68,20.78,1.99,0.02,0.01,0.75,12.05,2.7,0.06,69.68,0,43.29,17.45
BFA,Burkina Faso,Africa,Western Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
BGD,Bangladesh,Asia,Southern Asia,location,National,Dietary needs,0.18,34.45,33.23,19.18,0.91,0.01,0.04,0.75,2.45,5.24,0.04,79.33,0.01,48.36,23.1
BGD,Bangladesh,Asia,Southern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
BGR,Bulgaria,Europe,Eastern Europe,location,National,Dietary needs,0.65,71.12,17.86,60.03,2.96,0.06,0.07,5.07,55.84,4.61,0.08,95.15,0,369.37,19.67
BGR,Bulgaria,Europe,Eastern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
BHR,Bahrain,Asia,Western Asia,location,National,Dietary needs,0.65,170.31,44.46,120.14,8.61,0.09,0.05,2,19.64,4.24,0.07,102.63,0,341.55,31.41
BHR,Bahrain,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
BHS,Bahamas,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,0.51,276.98,5.36,78.78,1.67,0.11,0.11,2.1,36.13,3.08,0.11,180.77,0,173.19,83.7
BHS,Bahamas,Latin America and the Caribbean,Caribbean,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
BIH,Bosnia and Herzegovina,Europe,Southern Europe,location,National,Dietary needs,0.74,100.01,33.18,113.09,1.8,0.04,0.03,3.73,15.17,4.63,0.06,86.44,0,321.86,20.95
BIH,Bosnia and Herzegovina,Europe,Southern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
BLR,Belarus,Europe,Eastern Europe,location,National,Dietary needs,0.77,86.5,5.1,123.34,2.43,0.08,0.04,4.99,48.13,3.99,0.08,95.56,0,256.86,19.69
BLR,Belarus,Europe,Eastern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
BLZ,Belize,Latin America and the Caribbean,Central America,location,National,Dietary needs,0.42,112.07,38.18,52.14,0.59,0.05,0.07,0.89,15.68,3.09,0.08,189.79,0,91.83,97.27
BLZ,Belize,Latin America and the Caribbean,Central America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,South America,location,National,Dietary needs,0.25,105.44,17.86,20.56,6.96,0.09,0.09,0.84,28.48,3.82,0.08,95.39,0.01,70.87,105
BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,South America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
BRA,Brazil,Latin America and the Caribbean,South America,location,National,Dietary needs,0.59,158.76,72.44,88.88,0.89,0.12,0.11,2.43,57.05,3.81,0.08,184.83,0,99.76,104.93
BRA,Brazil,Latin America and the Caribbean,South America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
BRB,Barbados,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,0.5,130.25,53.66,90.41,1.33,0.09,0.08,1.79,20.36,3.08,0.1,187.14,0,117,88.34
BRB,Barbados,Latin America and the Caribbean,Caribbean,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
BRN,Brunei Darussalam,Asia,South-eastern Asia,location,National,Dietary needs,0.55,109.63,22.35,74.04,2.79,0.12,0.03,7.43,17.1,5.5,0.09,33.37,0,116.35,22.64
BRN,Brunei Darussalam,Asia,South-eastern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
BTN,Bhutan,Asia,Southern Asia,location,National,Dietary needs,0.36,74.51,46.91,68.3,2.42,0.03,0.03,1.32,7.51,5.22,0.05,98.23,0.01,118.79,21.09
BTN,Bhutan,Asia,Southern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
BWA,Botswana,Africa,Southern Africa,location,National,Dietary needs,0.43,68.92,44.36,79.15,0.99,0.03,0.05,1.78,12.95,3.11,0.08,106.72,0,68.32,14
BWA,Botswana,Africa,Southern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
CAF,Central African Republic,Africa,Middle Africa,location,National,Dietary needs,0.23,54.64,35.54,12.62,2.46,0.02,0.01,0.45,20.22,3.35,0.09,75.59,0,34.89,38.78
CAF,Central African Republic,Africa,Middle Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
CAN,Canada,North America,Northern America,location,National,Dietary needs,0.68,149.18,54.43,167.27,3.37,0.14,0.04,10.92,48.12,4.4,0.09,45.16,0.01,186.5,23.35
CAN,Canada,North America,Northern America,location,Regional,Dietary needs,0.87,117.74,20.8,180.03,10.17,0.11,0.08,17.39,48.89,4.97,0.1,48.43,0.01,173.84,24.77
