iso3,country,region,subregion,disaggregation,disagg.value,section,Calcium_2016,Fruit_2016,Legumes_2016,Milk_2016,Nuts and seeds_2016,Omega 3_2016,Polyunsaturated fat_2016,Processed meat_2016,Red meat_2016,Salt_2016,Saturated fat_2016,Sugar-sweetened beverages_2016,Trans fat_2016,Vegetables_2016,Whole grain_2016
GTM,Guatemala,Latin America and the Caribbean,Central America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
GUY,Guyana,Latin America and the Caribbean,South America,location,National,Dietary needs,0.5,71.6,44.29,97.06,0.82,0.07,0.03,0.83,5.78,3.09,0.09,186.6,0,115.68,101.67
GUY,Guyana,Latin America and the Caribbean,South America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
HND,Honduras,Latin America and the Caribbean,Central America,location,National,Dietary needs,0.4,97.49,47.66,86.36,0.39,0.05,0.03,0.78,11.95,3.62,0.09,310.18,0.01,90.6,188.78
HND,Honduras,Latin America and the Caribbean,Central America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
HRV,Croatia,Europe,Southern Europe,location,National,Dietary needs,0.73,107.99,10.05,155.09,2.72,0.03,0.08,0.62,33.35,4.59,0.09,109.31,0,147.33,19.23
HRV,Croatia,Europe,Southern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
HTI,Haiti,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,0.21,88.94,97.81,14.94,0.32,0.02,0.12,0.44,8.01,3.07,0.08,149.11,0,39.15,125.53
HTI,Haiti,Latin America and the Caribbean,Caribbean,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
HUN,Hungary,Europe,Eastern Europe,location,National,Dietary needs,0.54,77.76,23.71,126.21,0.57,0.07,0.05,5.07,41.83,4.7,0.1,88.1,0.01,268.8,18.89
HUN,Hungary,Europe,Eastern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
IDN,Indonesia,Asia,South-eastern Asia,location,National,Dietary needs,0.19,98.68,22.61,5.01,0.83,0.03,0.03,0.32,7.74,2.89,0.09,82.15,0,94.54,18.57
IDN,Indonesia,Asia,South-eastern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
IND,India,Asia,Southern Asia,location,National,Dietary needs,0.32,82.41,109.21,53.42,2.05,0.01,0.03,0.97,3.04,4.08,0.06,97.76,0.01,205.15,133.35
IND,India,Asia,Southern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
IRL,Ireland,Europe,Northern Europe,location,National,Dietary needs,0.87,115.68,12.74,212.55,1.28,0.09,0.04,5.54,62.92,4.2,0.09,101.1,0,142.47,26.77
IRL,Ireland,Europe,Northern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
IRN,Iran (Islamic Republic of),Asia,Southern Asia,location,National,Dietary needs,0.38,192.84,42.94,53.06,8.65,0.05,0.08,0.88,8.99,4.23,0.05,99.41,0.01,368.83,37.8
IRN,Iran (Islamic Republic of),Asia,Southern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
IRQ,Iraq,Asia,Western Asia,location,National,Dietary needs,0.25,59.8,22.72,29.97,0.84,0.03,0.07,0.71,4.52,4.23,0.06,89.83,0,290.44,39.25
IRQ,Iraq,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
ISL,Iceland,Europe,Northern Europe,location,National,Dietary needs,1.03,142.86,3.58,208.22,1.59,0.1,0.06,8.68,44.86,3.42,0.14,105.75,0,113.31,22.23
ISL,Iceland,Europe,Northern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
ISR,Israel,Asia,Western Asia,location,National,Dietary needs,0.83,175.85,35.11,117.12,8.25,0.13,0.08,3.54,30.42,4.19,0.08,92.76,0,356.24,33.51
ISR,Israel,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
ITA,Italy,Europe,Southern Europe,location,National,Dietary needs,0.77,152.46,24.09,147.74,3.25,0.06,0.06,6.1,42,4.1,0.09,94.12,0,158.42,12.68
ITA,Italy,Europe,Southern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
JAM,Jamaica,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,0.5,140.55,22.39,75.54,0.38,0.09,0.07,1.01,9.32,3.09,0.1,190.61,0,139.79,96.92
JAM,Jamaica,Latin America and the Caribbean,Caribbean,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
JOR,Jordan,Asia,Western Asia,location,National,Dietary needs,0.43,77.97,43.74,70.98,3.17,0.07,0.08,0.79,12.34,4.23,0.07,109.87,0,225.87,40.71
JOR,Jordan,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
JPN,Japan,Asia,Eastern Asia,location,National,Dietary needs,0.48,76.69,53.38,65.02,1.93,2.08,0.07,12.67,25.41,5.91,0.07,29.02,0,288.57,32.57
JPN,Japan,Asia,Eastern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
KAZ,Kazakhstan,Asia,Central Asia,location,National,Dietary needs,0.96,56.09,3.26,100.45,2.37,0.08,0.05,3.58,43.53,4.74,0.09,93.2,0,357.83,19.07
KAZ,Kazakhstan,Asia,Central Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
KEN,Kenya,Africa,Eastern Africa,location,National,Dietary needs,0.41,71.49,72.49,23.71,1.03,0.03,0.03,0.76,10.67,2.38,0.07,94.88,0,82.37,36.06
KEN,Kenya,Africa,Eastern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
KGZ,Kyrgyzstan,Asia,Central Asia,location,National,Dietary needs,0.74,45.53,14.06,159.36,1.67,0.03,0.03,1.16,26.36,4.77,0.08,104.13,0,269.9,23.99
KGZ,Kyrgyzstan,Asia,Central Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
KHM,Cambodia,Asia,South-eastern Asia,location,National,Dietary needs,0.17,41.16,41.51,4.81,2.33,0.02,0.02,0.47,12.42,2.9,0.05,82.75,0,73.22,21.28
KHM,Cambodia,Asia,South-eastern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
KIR,Kiribati,Oceania,Micronesia,location,National,Dietary needs,0.24,55.56,28.4,15.3,0.03,0.02,0.02,0.42,12.27,2.59,0.11,107.71,0,62.58,18.57
KIR,Kiribati,Oceania,Micronesia,location,Regional,Dietary needs,0.61,97,18.28,171.73,4.67,0.09,0.03,4.47,56.52,2.93,0.12,67.97,0.01,125.79,23.49
KNA,Saint Kitts and Nevis,Latin America and the Caribbean,Caribbean,,,Dietary needs,,,,,,,,,,,,,,,
KOR,Republic of Korea,Asia,Eastern Asia,location,National,Dietary needs,0.52,140.08,14.12,53.6,2.35,0.06,0.09,3.13,39.44,4.96,0.06,31.79,0.01,169.41,20.42
KOR,Republic of Korea,Asia,Eastern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
KWT,Kuwait,Asia,Western Asia,location,National,Dietary needs,0.69,96.76,34.27,113.59,4.26,0.13,0.08,2.64,22.71,3.78,0.09,99.39,0,300.46,29.51
KWT,Kuwait,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
LAO,Lao People's Democratic Republic,Asia,South-eastern Asia,location,National,Dietary needs,0.2,90.76,31.02,3.64,1.34,0.04,0.01,0.62,15.44,2.89,0.03,77.67,0,215.96,19.99
LAO,Lao People's Democratic Republic,Asia,South-eastern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
LBN,Lebanon,Asia,Western Asia,location,National,Dietary needs,0.57,145.95,46.06,87.38,12.69,0.07,0.09,1.13,20.18,4.22,0.07,110.98,0,337.01,35.04
LBN,Lebanon,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
LBR,Liberia,Africa,Western Africa,location,National,Dietary needs,0.14,65.47,20.97,3.39,0.9,0.02,0.02,0.45,4.16,2.7,0.12,83.52,0,58.66,27.94
LBR,Liberia,Africa,Western Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
LBY,Libya,Africa,Northern Africa,location,National,Dietary needs,0.49,110.78,38.69,81.49,3,0.04,0.12,0.97,13.39,4.22,0.06,105.36,0,227.45,38.23
LBY,Libya,Africa,Northern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
LCA,Saint Lucia,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,0.38,110.98,30.57,52.77,0.62,0.07,0.09,1.22,15.61,3.09,0.09,211.36,0,86.84,95.4
LCA,Saint Lucia,Latin America and the Caribbean,Caribbean,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
LIE,Liechtenstein,Europe,Western Europe,,,Dietary needs,,,,,,,,,,,,,,,
LKA,Sri Lanka,Asia,Southern Asia,location,National,Dietary needs,0.29,54.1,43.6,34.13,1.41,0.03,0.01,0.82,1.78,2.9,0.11,101.5,0,79.52,38.41
LKA,Sri Lanka,Asia,Southern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
LSO,Lesotho,Africa,Southern Africa,location,National,Dietary needs,0.18,25.56,41.33,17.33,0.3,0.02,0.02,0.66,10.77,3.12,0.04,90.8,0,41.96,17.03
LSO,Lesotho,Africa,Southern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
LTU,Lithuania,Europe,Northern Europe,location,National,Dietary needs,0.81,77.57,26.66,119.79,1.54,0.09,0.04,9.53,40.41,3.99,0.07,101.48,0.01,185.85,18.93
LTU,Lithuania,Europe,Northern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
LUX,Luxembourg,Europe,Western Europe,location,National,Dietary needs,1.03,192.47,2.79,104.94,5.7,0.1,0.04,9.02,53.03,4.2,0.09,92.89,0,160.04,30.51
LUX,Luxembourg,Europe,Western Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
LVA,Latvia,Europe,Northern Europe,location,National,Dietary needs,0.82,62.87,3.66,141.11,2.02,0.12,0.06,8.62,32.69,3.99,0.11,107.09,0.02,191.84,19.21
LVA,Latvia,Europe,Northern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
MAR,Morocco,Africa,Northern Africa,location,National,Dietary needs,0.4,186,51.93,53.19,3.25,0.05,0.05,0.68,13.03,4.22,0.04,105.14,0,239.94,44.61
MAR,Morocco,Africa,Northern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
MCO,Monaco,Europe,Western Europe,,,Dietary needs,,,,,,,,,,,,,,,
MDA,Republic of Moldova,Europe,Eastern Europe,location,National,Dietary needs,0.57,55.93,7.9,137.36,1.4,0.04,0.05,2.11,17.12,4.01,0.08,95.55,0,182.81,23.22
MDA,Republic of Moldova,Europe,Eastern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
MDG,Madagascar,Africa,Eastern Africa,location,National,Dietary needs,0.22,59.93,23.8,20.52,0.25,0.02,0.03,0.47,9.45,2.6,0.05,85.21,0,34.3,23.36
MDG,Madagascar,Africa,Eastern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
MDV,Maldives,Asia,Southern Asia,location,National,Dietary needs,0.5,133.77,16.91,72.32,12.07,0.05,0.03,1.1,6.98,2.86,0.1,112.04,0,147.4,17.74
MDV,Maldives,Asia,Southern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
MEX,Mexico,Latin America and the Caribbean,Central America,location,National,Dietary needs,0.52,138.11,56.15,92.72,1.34,0.08,0.06,7.58,33.9,3.47,0.07,283.49,0.01,125.17,183.11
MEX,Mexico,Latin America and the Caribbean,Central America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
MHL,Marshall Islands,Oceania,Micronesia,location,National,Dietary needs,0.25,78.87,16.33,16.85,0.02,0.03,0.03,0.68,15.77,2.59,0.15,97.44,0,63.88,16.86
MHL,Marshall Islands,Oceania,Micronesia,location,Regional,Dietary needs,0.61,97,18.28,171.73,4.67,0.09,0.03,4.47,56.52,2.93,0.12,67.97,0.01,125.79,23.49
MKD,North Macedonia,Europe,Southern Europe,location,National,Dietary needs,0.69,127.55,38.55,127.67,3.74,0.05,0.05,4.45,20.66,4.64,0.08,103.5,0,314.91,20.41
MKD,North Macedonia,Europe,Southern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
MLI,Mali,Africa,Western Africa,location,National,Dietary needs,0.47,45.44,60.26,93.29,1.12,0.02,0,1.05,17.88,2.7,0.07,73.14,0,118.04,27.62
MLI,Mali,Africa,Western Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
MLT,Malta,Europe,Southern Europe,location,National,Dietary needs,0.74,102.96,27.07,77.6,3.15,0.08,0.06,6.2,40.03,4.03,0.08,112.75,0,273.98,33.72
MLT,Malta,Europe,Southern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
MMR,Myanmar,Asia,South-eastern Asia,location,National,Dietary needs,0.25,58.03,80.54,26.97,4.42,0.05,0.02,0.55,12.55,2.9,0.07,90.28,0,160.73,20.35
MMR,Myanmar,Asia,South-eastern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
MNE,Montenegro,Europe,Southern Europe,location,National,Dietary needs,0.67,164.11,24.68,285.34,2.34,0.05,0.04,2.57,43.53,4.62,0.08,97.69,0,413.81,20.01
MNE,Montenegro,Europe,Southern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
MNG,Mongolia,Asia,Eastern Asia,location,National,Dietary needs,0.58,40.81,2.91,129.79,2.28,0.03,0.04,6.49,62.59,4.77,0.15,88.67,0,94.93,20.78
MNG,Mongolia,Asia,Eastern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
MOZ,Mozambique,Africa,Eastern Africa,location,National,Dietary needs,0.17,35.18,68.36,4.56,2.32,0.01,0.06,0.36,6.6,2.62,0.06,84.65,0,33.17,23.91
MOZ,Mozambique,Africa,Eastern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
MRT,Mauritania,Africa,Western Africa,location,National,Dietary needs,0.6,21.64,66.14,121.52,2.29,0.02,0.08,1.44,17.93,2.69,0.1,103.27,0,42.91,22.76
MRT,Mauritania,Africa,Western Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
MUS,Mauritius,Africa,Eastern Africa,location,National,Dietary needs,0.52,66.92,53.62,109.17,0.6,0.09,0.12,1.31,12.15,2.9,0.07,96.57,0,136.89,42.91
MUS,Mauritius,Africa,Eastern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
MWI,Malawi,Africa,Eastern Africa,location,National,Dietary needs,0.17,79.46,105.96,4.06,0.15,0.01,0.02,0.37,4.87,2.61,0.03,83.94,0,43.13,24.04
MWI,Malawi,Africa,Eastern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
MYS,Malaysia,Asia,South-eastern Asia,location,National,Dietary needs,0.29,133.07,21.96,18.08,1.83,0.09,0.05,1.56,13.02,2.89,0.11,111.08,0,107.78,10.4
MYS,Malaysia,Asia,South-eastern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
NAM,Namibia,Africa,Southern Africa,location,National,Dietary needs,0.3,36.95,37.77,51.73,0.38,0.05,0.04,1.5,16.89,3.12,0.09,96.18,0,54.72,20.91
NAM,Namibia,Africa,Southern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
NER,Niger,Africa,Western Africa,location,National,Dietary needs,0.4,34.76,192.16,46.54,3.64,0.01,0.01,0.64,14.84,2.7,0.06,66.51,0,92.16,27.48
NER,Niger,Africa,Western Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
NGA,Nigeria,Africa,Western Africa,location,National,Dietary needs,0.26,88.29,79.52,3.48,6.65,0.01,0.01,1.29,6.67,2.52,0.08,74.67,0,132.32,21.67
NGA,Nigeria,Africa,Western Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
NIC,Nicaragua,Latin America and the Caribbean,Central America,location,National,Dietary needs,0.36,59.93,98.14,62.62,0.16,0.04,0.07,0.75,7.16,3.62,0.07,302.04,0.01,20.9,189.23
NIC,Nicaragua,Latin America and the Caribbean,Central America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
NLD,Netherlands,Europe,Western Europe,location,National,Dietary needs,0.98,133.98,9.82,153.11,5.69,0.06,0.08,6.25,53.98,3.67,0.1,110.14,0.01,127.26,10.99
NLD,Netherlands,Europe,Western Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
NOR,Norway,Europe,Northern Europe,location,National,Dietary needs,0.97,148.74,17.28,185.09,3.45,0.08,0.08,26.19,51.94,4.45,0.09,96.23,0,105.63,56.69
NOR,Norway,Europe,Northern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
NPL,Nepal,Asia,Southern Asia,location,National,Dietary needs,0.31,74.86,54.2,42.32,2.07,0.03,0.06,0.77,9.61,5.28,0.04,72.91,0.01,191.3,23.89
NPL,Nepal,Asia,Southern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
NRU,Nauru,Oceania,Micronesia,,,Dietary needs,,,,,,,,,,,,,,,
NZL,New Zealand,Oceania,Australia and New Zealand,location,National,Dietary needs,0.47,113.71,17.2,200.45,3.28,0.09,0.04,5.54,63.32,3.26,0.12,61.32,0.01,133.25,55.76
NZL,New Zealand,Oceania,Australia and New Zealand,location,Regional,Dietary needs,0.61,97,18.28,171.73,4.67,0.09,0.03,4.47,56.52,2.93,0.12,67.97,0.01,125.79,23.49
OMN,Oman,Asia,Western Asia,location,National,Dietary needs,0.65,285.04,25.1,114.15,1.57,0.08,0.02,2.18,24.29,4.25,0.09,104.18,0,224.31,31.46
OMN,Oman,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
PAK,Pakistan,Asia,Southern Asia,location,National,Dietary needs,0.42,44.61,33.9,70.99,0.82,0.03,0.01,1.14,10,5.26,0.09,102.57,0.01,55.21,21.97
PAK,Pakistan,Asia,Southern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
PAN,Panama,Latin America and the Caribbean,Central America,location,National,Dietary needs,0.46,127.3,37.46,60.42,0.71,0.09,0.1,2.05,29.19,3.63,0.09,289.77,0.01,58.1,149.37
PAN,Panama,Latin America and the Caribbean,Central America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
PER,Peru,Latin America and the Caribbean,South America,location,National,Dietary needs,0.45,112.53,23.35,26.23,0.36,0.04,0.06,0.73,13.13,3.82,0.07,90.71,0.01,82.68,95.86
PER,Peru,Latin America and the Caribbean,South America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
PHL,Philippines,Asia,South-eastern Asia,location,National,Dietary needs,0.18,144.5,12.13,7.93,1.61,0.04,0.02,1.71,22.58,2.89,0.08,94.4,0,136.41,19.39
PHL,Philippines,Asia,South-eastern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
PLW,Palau,Oceania,Micronesia,,,Dietary needs,,,,,,,,,,,,,,,
PNG,Papua New Guinea,Oceania,Melanesia,location,National,Dietary needs,0.21,66.48,14.62,13.88,0.01,0.02,0.02,0.55,13.55,2.59,0.14,97.13,0,52.89,17.65
PNG,Papua New Guinea,Oceania,Melanesia,location,Regional,Dietary needs,0.61,97,18.28,171.73,4.67,0.09,0.03,4.47,56.52,2.93,0.12,67.97,0.01,125.79,23.49
POL,Poland,Europe,Eastern Europe,location,National,Dietary needs,0.68,76.2,11.61,106.39,1.19,0.08,0.03,3.34,51.1,4.53,0.08,104.22,0,252.87,18.95
POL,Poland,Europe,Eastern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
PRK,Democratic People's Republic of Korea,Asia,Eastern Asia,location,National,Dietary needs,0.2,63.98,66.96,3.65,0.4,0.01,0.11,0.45,6.06,4.19,0.04,80.14,0,216.24,38.99
PRK,Democratic People's Republic of Korea,Asia,Eastern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
PRT,Portugal,Europe,Southern Europe,location,National,Dietary needs,0.72,119.52,15.12,156.34,2.53,0.07,0.05,3.03,55.52,4.12,0.08,90.25,0,234.61,33.79
PRT,Portugal,Europe,Southern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
PRY,Paraguay,Latin America and the Caribbean,South America,location,National,Dietary needs,0.46,109.08,51.16,63.71,2.25,0.05,0.11,0.9,39.97,3.82,0.08,171.03,0,93.29,121.41
PRY,Paraguay,Latin America and the Caribbean,South America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
PSE,State of Palestine,Asia,Western Asia,location,National,Dietary needs,0.32,68.37,30.23,43.58,0.82,0.03,0.04,0.46,9.11,4.23,0.07,110.71,0,144.14,49.51
PSE,State of Palestine,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
QAT,Qatar,Asia,Western Asia,location,National,Dietary needs,0.92,261.33,54.19,181.85,24.03,0.17,0.06,4.27,28.91,4.25,0.07,108.3,0,523.3,27.39
QAT,Qatar,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
ROU,Romania,Europe,Eastern Europe,location,National,Dietary needs,1,93.64,10.8,93.64,1.83,0.05,0.04,5.39,49.79,4.62,0.07,89.17,0,395.78,19.58
ROU,Romania,Europe,Eastern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
RUS,Russian Federation,Europe,Eastern Europe,location,National,Dietary needs,0.69,80.64,12.14,99.07,2.5,0.09,0.03,6.97,33.27,3.85,0.07,105.9,0,179.39,19.1
RUS,Russian Federation,Europe,Eastern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
RWA,Rwanda,Africa,Eastern Africa,location,National,Dietary needs,0.34,222.41,161.5,15.29,0.6,0.01,0.02,0.47,4.41,2.61,0.05,83.74,0,82.74,33.22
RWA,Rwanda,Africa,Eastern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
